ATOSU-58324-00012,ATOSU-58324-00012,ATOSU-58324-00012,ATOSU-58324-00015,ATOSU-58324-00015,ATOSU-58324-00015,ATOSU-58324-00014,ATOSU-58324-00014,ATOSU-58324-00014,ATAPL-58324-00005,ATAPL-58324-00005,ATAPL-58324-00005,ATAPL-58324-00008,ATAPL-58324-00008,ATAPL-58324-00008,ATAPL-58324-00007,ATAPL-58324-00007,ATAPL-58324-00007,ATAPL-58324-00006,ATAPL-58324-00006,ATAPL-58324-00006,ATAPL-58324-00010,ATAPL-58324-00010,ATAPL-58324-00010,ATAPL-58324-00003,ATAPL-58324-00003,ATAPL-58324-00003,ATAPL-58324-00011,ATAPL-58324-00011,ATAPL-58324-00011,ATOSU-58324-00016,ATOSU-58324-00016,ATOSU-58324-00016,ATAPL-58324-00009,ATAPL-58324-00009,ATAPL-58324-00009,ATAPL-58324-00004,ATAPL-58324-00004,ATAPL-58324-00004,ATOSU-58324-00013,ATOSU-58324-00013,ATOSU-58324-00013,HYSB1,HYSB1,HYSB1,HYS14,HYS14,HYS14,AXBA1,AXBA1,AXBA1,AXEC2,AXEC2,AXEC2,AXCC1,AXCC1,AXCC1
Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase,Freq (kHz),0 phase,90 phase
0,-168.6,-168.6,0,-168.5,-168.5,0,-170.5,-170.5,0,-169.2,-169.2,0,-168.5,-168.5,0,-170.1,-170.1,0,-170.2,-170.2,0,-168.8,-168.8,0,-169.1,-169.1,0,-168.9,-168.9,0,-169,-169,0,-168.7,-168.7,0,-169.7,-169.7,0,-171.8,-171.8,0,2311.11,2311.11,0,2499.09,2499.09,0,2257.3,2257.3,0,2421,2421,0,2480.98,2480.98
26,-168.6,-168.6,26,-168.5,-168.5,26,-170.5,-170.5,26,-169.2,-169.2,26,-168.5,-168.5,26,-170.1,-170.1,26,-170.2,-170.2,26,-168.8,-168.8,26,-169.1,-169.1,26,-168.9,-168.9,26,-169,-169,26,-168.7,-168.7,26,-169.7,-169.7,10,-171.8,-171.8,100,2311.11,2311.11,100,2499.09,2499.09,100,2257.3,2257.3,100,2421,2421,100,2480.98,2480.98
10,-169.1,-169.3,10,-167.5,-167.7,10,-169.6,-169.9,13.5,-168.6,-168.6,10,-169.1,-168.9,10,-169.5,-169.7,10,-168.4,-168.4,10,-169.6,-170.2,10,10,-168.3,10,-169.8,-169.7,10,-169.7,-169.5,10,-169.7,-169.8,10,-168.9,-169.1,27,-172,-172,,,,,,,,,,,,,,,
20.1,-170.9,-170.9,20.1,-169.3,-169.6,20.1,-172.9,-172.8,27.1,-168.4,-168.4,20.1,-170.5,-170.8,20.1,-171.7,-171.7,20.1,-168.1,-168.1,20.1,-171.8,-171.7,20.1,20.1,-166.5,20.1,-170.3,-170.8,20.1,-171.6,-171,20.1,-173.1,-173.4,20.1,-169.4,-169.5,40.5,-171.4,-171.4,,,,,,,,,,,,,,,
30.1,-171.1,-171.8,30.1,-171.7,-172,30.1,-174,-172.7,40.6,-169.8,-169.8,30.1,-170.8,-169.8,30.1,-172.2,-171.7,30.1,-171.1,-171.1,30.1,-171.5,-171.7,30.1,30.1,-167.9,30.1,-170.8,-171.1,30.1,-171.1,-171,30.1,-174.5,-172.7,30.1,-169.8,-170.1,52,-174,-174,,,,,,,,,,,,,,,
40.2,-171.8,-171.3,40.2,-172.7,-172.6,40.2,-173.7,-172,54.1,-169.5,-169.5,40.2,-169.7,-169.7,40.2,-171.9,-171.4,40.2,-168.5,-168.5,40.2,-171.2,-171.2,40.2,40.2,-167.1,40.2,-170.3,-170.7,40.2,-170.9,-170.7,40.2,-173.1,-171.1,40.2,-169.7,-169.7,68,-173,-173,,,,,,,,,,,,,,,
50.2,-174.5,-173.9,50.2,-172,-171.4,50.2,-173.1,-171.4,67.7,-170,-170,50.2,-173.5,-173.4,50.2,-171.7,-172.3,50.2,-169.6,-169.6,50.2,-172.8,-172.5,50.2,50.2,-167.4,50.2,-173,-174.2,50.2,-172.6,-174.1,50.2,-174.8,-174.2,50.2,-170.8,-170.3,80.5,-170.6,-170.6,,,,,,,,,,,,,,,
60.2,-173.3,-172.9,60.2,-172.2,-170.6,60.2,-173.4,-171.4,81.2,-171.7,-171.7,60.2,-172.1,-172.8,60.2,-171.6,-175.1,60.2,-171,-171,60.2,-171.6,-171.7,60.2,60.2,-167.6,60.2,-172.4,-173.3,60.2,-174,-176.2,60.2,-174.1,-171.9,60.2,-172.5,-171.2,94.5,-172.5,-172.5,,,,,,,,,,,,,,,
70.3,-174.4,-173.4,70.3,-171.4,-171,70.3,-173.2,-172.7,94.7,-172.1,-172.1,70.3,-173.4,-172.3,70.3,-171,-173.2,70.3,-169.9,-169.9,70.3,-173,-172.1,70.3,70.3,-167.4,70.3,-174,-175.2,70.3,-175.2,-176.4,70.3,-174.6,-171.7,70.3,-173,-170.9,108.5,-169.1,-169.1,,,,,,,,,,,,,,,
80.3,-175.9,-173.9,80.3,-172.4,-170.8,80.3,-175.9,-173.9,108.3,-172.9,-172.9,80.3,-174,-173.5,80.3,-172.4,-174.3,80.3,-171.1,-171.1,80.3,-173.8,-173.3,80.3,80.3,-169.1,80.3,-173.6,-176.3,80.3,-175.6,-177.1,80.3,-174.8,-171.6,80.3,-173.5,-171.6,121,-170.2,-170.2,,,,,,,,,,,,,,,
90.4,-175.5,-176.3,90.4,-172.1,-170.3,90.4,-175.9,-173,121.8,-172.3,-172.3,90.4,-174.7,-176.4,90.4,-172.7,-174.2,90.4,-169.9,-169.9,90.4,-175.7,-174.9,90.4,90.4,-169,90.4,-175.2,-177.4,90.4,-176.5,-178.8,90.4,-174.8,-172.5,90.4,-172.7,-171.4,135,-168.3,-168.3,,,,,,,,,,,,,,,
100.4,-174,-175.6,100.4,-172.2,-170.5,100.4,-175.7,-172.3,135.3,-169.6,-169.6,100.4,-175.8,-177.9,100.4,-172.1,-175.2,100.4,-172.3,-172.3,100.4,-175.1,-174.9,100.4,100.4,-172.9,100.4,-175.4,-176.6,100.4,-177.5,-178.3,100.4,-174,-172.6,100.4,-171.8,-171.7,149,-167.1,-167.1,,,,,,,,,,,,,,,
110.4,-175.4,-177.4,110.4,-172.7,-171.7,110.4,-175.1,-170.7,148.8,-166.2,-166.2,110.4,-176.9,-178.7,110.4,-171.7,-175.9,110.4,-172.1,-172.1,110.4,-175.3,-177.6,110.4,110.4,-172.2,110.4,-177.3,-177.7,110.4,-178.4,-179,110.4,-173.4,-174.8,110.4,-170.5,-170.9,162,-167,-167,,,,,,,,,,,,,,,
120.5,-173.7,-174.2,120.5,-172.2,-173.8,120.5,-172.7,-169.7,162.4,-165.3,-165.3,120.5,-173.4,-178.4,120.5,-171.1,-175.7,120.5,-170.8,-170.8,120.5,-175.2,-176.4,120.5,120.5,-172.6,120.5,-176.7,-176.6,120.5,-179,-178.9,120.5,-170.5,-174.6,120.5,-171.4,-169.8,176,-163.5,-163.5,,,,,,,,,,,,,,,
130.5,-171.8,-171.8,130.5,-170.7,-172.2,130.5,-169.6,-167.7,175.9,-167.1,-167.1,130.5,-171.3,-175.7,130.5,-169.9,-173.5,130.5,-171.4,-171.4,130.5,-173.8,-174.3,130.5,130.5,-170.5,130.5,-175.2,-175,130.5,-178.9,-177.4,130.5,-169.3,-173.2,130.5,-170.9,-168.3,190,-170,-170,,,,,,,,,,,,,,,
140.5,-171,-169.9,140.5,-170.2,-170.7,140.5,-168,-166.4,189.4,-170.9,-170.9,140.5,-169.4,-172.6,140.5,-169,-171.9,140.5,-169,-169,140.5,-171.9,-171,140.5,140.5,-168.7,140.5,-173.7,-172.5,140.5,-177.9,-174.1,140.5,-168.1,-171.3,140.5,-169.1,-166.9,200,-172,-172,,,,,,,,,,,,,,,
150.6,-168.5,-168.3,150.6,-169.8,-170.2,150.6,-167.2,-165.6,200,-173.8,-173.8,150.6,-168,-170.7,150.6,-167.9,-170.4,150.6,-167.9,-167.9,150.6,-171.5,-169.8,150.6,150.6,-165,150.6,-171.3,-169.7,150.6,-174.1,-173.1,150.6,-168.6,-168.9,150.6,-167.6,-165.8,,,,,,,,,,,,,,,,,,
160.6,-165.2,-165.2,160.6,-167.8,-167.8,160.6,-165.7,-164.8,,,,160.6,-166.1,-166.5,160.6,-166.7,-167.7,160.6,-166.7,-166.7,160.6,-167,-166.7,160.6,160.6,-162,160.6,-168.5,-167.1,160.6,-170.8,-170.2,160.6,-167.5,-166.6,160.6,-165.2,-163.2,,,,,,,,,,,,,,,,,,
